trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
151,False,"{'a': 0.01, 'e': 0.22313016014842982}",20,0,-127.40068850083574,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
152,False,"{'a': 0.01, 'e': 0.2209099779593782}",20,13,-1.5866991131390327,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
153,False,"{'a': 0.01, 'e': 0.21871188695221475}",20,0,20.945414886798996,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
154,False,"{'a': 0.01, 'e': 0.21653566731600707}",20,0,5.43800569968975,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
155,False,"{'a': 0.01, 'e': 0.21438110142697794}",25,12,17.86053642636787,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.01, 'e': 0.21224797382674304}",25,7,13.827412032365881,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.01, 'e': 0.21013607120076472}",20,10,-6.0867002459599,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
158,False,"{'a': 0.01, 'e': 0.20804518235702046}",35,18,10.630302435066266,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
159,False,"{'a': 0.01, 'e': 0.20597509820488344}",20,0,-3.951997827376269,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
160,False,"{'a': 0.01, 'e': 0.20392561173421342}",25,0,16.560487034870647,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
161,False,"{'a': 0.01, 'e': 0.20189651799465538}",20,0,-11.813626246766532,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
162,False,"{'a': 0.01, 'e': 0.1998876140751445}",20,5,-43.019855477671356,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
163,False,"{'a': 0.01, 'e': 0.19789869908361465}",20,14,13.884734572763106,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.01, 'e': 0.19592957412690934}",25,14,22.186525083232674,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
